count,mean,std,min,25%,50%,75%,max,unique,top,freq,missing_values
100000.0,39320.3438754999,95834.58711719807,0.01,6235.0075,17434.739999999998,41321.605,9932115.549993802,,,,0
100000.0,315.57537,92.04366615757924,0.0,282.0,330.0,362.0,499.0,,,,0
100000.0,10.41426,9.61458023285107,0.0,0.0,9.0,19.0,27.0,,,,0
100000,,,,,,,,27,SP,23289,0
100000,,,,,,,,3820,SAO PAULO,6318,0
99945,,,,,,,,16537,CENTRO,26668,55
100000.0,0.20943,0.40690383483976666,0.0,0.0,0.0,0.0,1.0,,,,0
100000.0,2458881.78301,92900040.40538307,0.0,5000.0,20000.0,60000.0,4704202922.0,,,,0
100000.0,1.68003,12.241779601462287,1.0,1.0,1.0,1.0,2072.0,,,,0
100000.0,81.26256,33.6320129247319,0.0,59.0,79.0,99.0,169.0,,,,0
100000.0,34.08643,24.087413349920308,0.0,12.0,33.0,57.0,70.0,,,,0
100000.0,2.01999,0.6874555446363485,0.0,2.0,2.0,2.0,3.0,,,,0
100000.0,0.46779,0.6512040821183217,0.0,0.0,0.0,1.0,4.0,,,,0
100000.0,1.11387,0.9384841131443337,0.0,0.0,1.0,2.0,4.0,,,,0
